
uid,i__start_size,i__cons_marry_allow_thr,i__cons_marry_chance,d__incident_rate,c__gen_count,c__min_offspring,c__max_offspring,c__min_gen_grow,c__max_gen_grow,c__death_age,c__min_marry_age,c__max_marry_age,c__gene_healthy_weight,c__gene_trait_weight,c__gene_affect_weight,s__stop_marry_prop,s__cons_marry_prop,s__die_dis_count,s__die_age_count,s__stop_marry_count,s__offspring_count,s__cons_marry_count,s__marry_count,s__end_size,s__end_kid_count,s__end_senior_count,s__end_male_unmarry_count,s__end_female_unmarry_count,s__end_male_marry_count,s__end_female_marry_count
b001_r001_p085,4000,2,0,0.01391331223156526,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00012742302852683052,0.0,2611,45679,8,187662,0,62783,143372,63436,0,49,0,40017,39870
b001_r001_p086,4000,2,0.2,0.014616228489092407,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00011454378845398612,0.1010112580180652,2678,43474,7,183221,6173,61112,141069,61995,0,0,322,39348,39404
b001_r001_p087,4000,2,0.4,0.014368800982878717,11,0,6,16,19,80,18,60,0.8,0.2,0,9.502090459901178e-05,0.18687444571138984,2725,45504,6,189647,11800,63144,145418,64407,0,0,227,40384,40400
b001_r001_p088,4000,2,0.6,0.014201256502477501,11,0,6,16,19,80,18,60,0.8,0.2,0,6.174745291756716e-05,0.2641401667181229,2760,47353,4,194349,17111,64780,148236,65568,3,449,0,40989,41227
b001_r001_p089,4000,2,0.8,0.01576055895664173,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00010811144745783654,0.3244733428059554,3061,47215,7,194219,21009,64748,147943,65103,0,559,0,41188,41093
b001_r001_p090,4000,3,0,0.012898866742421916,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00012318115328354762,0.0,2520,46916,8,195366,0,64945,149930,66232,0,0,724,41590,41384
b001_r001_p091,4000,3,0.2,0.0137515956492842,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20054213429712764,0.0,2607,45289,12651,189578,0,63084,145682,64593,0,0,209,40403,40477
b001_r001_p092,4000,3,0.4,0.01233125125931896,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4097240075614367,0.0,2448,47576,27093,198520,0,66125,152496,67494,2,325,0,42311,42364
b001_r001_p093,4000,3,0.6,0.014482765876857035,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6227128240001265,0.0,2753,46040,39376,190088,0,63233,145295,64318,0,0,549,40377,40051
b001_r001_p094,4000,3,0.8,0.013936847811356552,11,0,6,16,19,80,18,60,0.8,0.2,0,0.81142578125,0.0,2571,44500,49854,184475,0,61440,141404,62913,0,0,104,39045,39342
b001_r001_p095,4000,4,0,0.014919640260531268,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0009045011265150394,0.0,2719,44565,55,182243,0,60807,138959,61459,0,0,446,38750,38304
b001_r001_p096,4000,4,0.2,0.013941430529928979,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20309232032472463,0.0,2705,46019,13109,194026,0,64547,149302,66209,0,17,0,41509,41567
b001_r001_p097,4000,4,0.4,0.013357389459673059,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4100198474229362,0.0,2569,47374,26443,192328,0,64492,146385,64316,0,459,0,40874,40736
b001_r001_p098,4000,4,0.6,0.013778280065062633,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6177844643281336,0.0,2609,45327,39010,189356,0,63145,145420,64199,0,0,218,40394,40609
b001_r001_p099,4000,4,0.8,0.012315613693292513,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8177570093457944,0.0,2301,44764,51100,186836,0,62488,143771,63380,0,0,179,40157,40055
b001_r001_p100,16000,0,0,0.013450843352741451,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,10308,183983,0,766346,0,255729,588055,260287,0,0,293,163766,163709
b001_r001_p101,16000,0,0.2,0.013673255061429537,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.09957769943047538,10585,184616,0,774139,25702,258110,594938,263152,0,0,181,165692,165913
b001_r001_p102,16000,0,0.4,0.01492151983005246,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.186205647510906,11386,182731,0,763059,47294,253988,584942,259349,0,347,0,162719,162527
b001_r001_p103,16000,0,0.6,0.014378694816653314,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.260685707106005,10984,183363,0,763908,66393,254686,585561,259468,0,84,0,163079,162930
b001_r001_p104,16000,0,0.8,0.015303633635385129,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.3258608699107835,11545,182369,0,754396,81998,251635,576482,255247,0,0,334,160558,160343
b001_r001_p105,16000,2,0,0.013291131063884761,11,0,6,16,19,80,18,60,0.8,0.2,0,1.549858962834382e-05,0.0,10288,186119,4,774050,0,258088,593643,263272,6,265,0,164683,165417
b001_r001_p106,16000,2,0.2,0.014232491941897945,11,0,6,16,19,80,18,60,0.8,0.2,0,2.7472204016436226e-05,0.09929631911712186,10880,183539,7,764448,25301,254803,586029,259331,0,0,607,162911,163180
b001_r001_p107,16000,2,0.4,0.013611656280807112,11,0,6,16,19,80,18,60,0.8,0.2,0,7.75683862285087e-06,0.1870173791969345,10535,184569,2,773969,48220,257837,594865,263002,2,738,0,165408,165715
b001_r001_p108,16000,2,0.6,0.014640324876278026,11,0,6,16,19,80,18,60,0.8,0.2,0,2.7457440966501922e-05,0.2614497528830313,11212,183119,7,765830,66654,254940,587499,260586,0,0,147,163524,163242
b001_r001_p109,16000,2,0.8,0.014795141683505021,11,0,6,16,19,80,18,60,0.8,0.2,0,7.814850560520157e-06,0.3238239626762737,11342,185309,2,766603,82874,255923,585952,259201,0,0,214,163511,163026
b001_r001_p110,16000,3,0,0.014025256626840715,11,0,6,16,19,80,18,60,0.8,0.2,0,2.389105678107828e-05,0.0,10552,181944,6,752357,0,251140,575861,255434,0,90,0,160461,159876
b001_r001_p111,16000,3,0.2,0.01362747319431097,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20666331003204416,0.0,10465,185607,52949,767934,0,256209,587862,260382,0,0,668,163650,163162
b001_r001_p112,16000,3,0.4,0.01393951511609427,11,0,6,16,19,80,18,60,0.8,0.2,0,0.40876114462347607,0.0,10876,187286,106320,780228,0,260103,598066,264351,11,778,0,166266,166660
b001_r001_p113,16000,3,0.6,0.014067990738345252,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6120907585938261,0.0,10821,184787,157139,769193,0,256725,589585,260115,7,797,0,164113,164553
b001_r001_p114,16000,3,0.8,0.01384653563758119,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8119642140767832,0.0,10657,184167,208471,769651,0,256749,590827,260706,0,0,790,164836,164495
b001_r001_p115,16000,4,0,0.013332457465676937,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00012598375596946468,0.0,10148,182692,32,761150,0,254001,584310,258383,0,569,0,162305,163053
b001_r001_p116,16000,4,0.2,0.013643216303783193,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20057806994798896,0.0,10742,187842,52602,787351,0,262252,604767,268008,0,97,0,168279,168383
b001_r001_p117,16000,4,0.4,0.013598296553992969,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4040610753423062,0.0,10499,184639,104053,772082,0,257518,592944,262394,0,147,0,165056,165347
b001_r001_p118,16000,4,0.6,0.013682446639881472,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6029888606180961,0.0,10574,185587,155465,772815,0,257824,592654,261825,0,768,0,165017,165044
b001_r001_p119,16000,4,0.8,0.014283744949789508,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8218388294387421,0.0,10776,182744,206976,754424,0,251845,576904,255807,2,70,0,159983,161042
b001_r002_p120,1000,0,0,0.01283572430158559,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,595,11134,0,46355,0,15440,35626,15666,3,211,0,9885,9861
b001_r002_p121,1000,0,0.2,0.01449973615986418,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.09911818989678037,632,11045,0,43587,1450,14629,32910,14558,0,138,0,9152,9062
b001_r002_p122,1000,0,0.4,0.015224956500124285,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.1898136645962733,735,11719,0,48276,3056,16100,36822,16192,0,0,143,10224,10263
b001_r002_p123,1000,0,0.6,0.014421416234887737,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2711545937540495,668,11351,0,46320,4185,15434,35301,15512,3,268,0,9704,9814
b001_r002_p124,1000,0,0.8,0.014773274184435749,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.32291601033331235,706,11226,0,47789,5125,15871,36857,16306,0,0,35,10273,10243
b001_r002_p125,1000,2,0,0.01244094163279622,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0007398273736128237,0.0,603,11444,12,48469,0,16220,37422,16338,1,85,0,10502,10496
b001_r002_p126,1000,2,0.2,0.016020009508650804,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00037290242386575515,0.10323182100683655,775,11429,6,48377,1661,16090,37173,16329,0,89,0,10390,10365
b001_r002_p127,1000,2,0.4,0.014628152818991097,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00034828643076065756,0.19218445249373084,631,10596,5,43136,2759,14356,32909,14709,0,0,82,9124,8994
b001_r002_p128,1000,2,0.6,0.012409167132476244,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00026551609691337537,0.2616661135081314,555,11228,4,44725,3942,15065,33942,14972,0,68,0,9502,9400
b001_r002_p129,1000,2,0.8,0.01640636547272996,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00022153300841825432,0.34647762516614977,666,10316,3,40594,4692,13542,30612,13651,8,162,0,8300,8491
b001_r002_p130,1000,3,0,0.015124153498871333,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0012177795818956768,0.0,670,10937,18,44300,0,14781,33693,15036,0,31,0,9379,9247
b001_r002_p131,1000,3,0.2,0.014044299972911588,11,0,6,16,19,80,18,60,0.8,0.2,0,0.21436651583710406,0.0,674,11299,3411,47991,0,15912,37018,16401,0,0,89,10218,10310
b001_r002_p132,1000,3,0.4,0.012555308492239965,11,0,6,16,19,80,18,60,0.8,0.2,0,0.42344045368620037,0.0,559,10768,6272,44523,0,14812,34196,15134,0,0,202,9523,9337
b001_r002_p133,1000,3,0.6,0.013335383804209323,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6242671760753573,0.0,607,11105,9477,45518,0,15181,34806,15465,0,84,0,9697,9560
b001_r002_p134,1000,3,0.8,0.013933360501445731,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8253949746400047,0.0,718,12278,14158,51531,0,17153,39535,17458,0,47,0,10997,11033
b001_r002_p135,1000,4,0,0.012588428904229627,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0029641085121464013,0.0,589,11060,46,46789,0,15519,36140,16092,0,0,57,10003,9988
b001_r002_p136,1000,4,0.2,0.015274949083503055,11,0,6,16,19,80,18,60,0.8,0.2,0,0.22335714285714287,0.0,630,10722,3127,41244,0,14000,30892,13358,0,0,249,8637,8648
b001_r002_p137,1000,4,0.4,0.014446438733966642,11,0,6,16,19,80,18,60,0.8,0.2,0,0.42925057774843184,0.0,660,10933,6501,45686,0,15145,35093,15720,0,13,0,9733,9627
b001_r002_p138,1000,4,0.6,0.014562560489770195,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6007293847504559,0.0,647,10804,8895,44429,0,14807,33978,15154,0,13,0,9439,9372
b001_r002_p139,1000,4,0.8,0.01177262711172774,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8220250841235852,0.0,577,11767,13436,49012,0,16345,37668,16666,0,0,79,10460,10463
b001_r002_p140,4000,0,0,0.012735902528944113,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,2584,47751,0,202891,0,67587,156556,68816,0,0,317,43703,43720
b001_r002_p141,4000,0,0.2,0.01327735557164511,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.10103967682334888,2549,46482,0,191981,6453,63866,146950,65571,0,0,129,40797,40453
b001_r002_p142,4000,0,0.4,0.015235123503973698,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.18608668341708542,2910,46181,0,191006,11850,63680,145915,64476,0,254,0,40515,40670
b001_r002_p143,4000,0,0.6,0.014745139253809774,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2612484382660404,2806,45583,0,190300,16519,63231,145911,64543,0,0,488,40516,40364
b001_r002_p144,4000,0,0.8,0.015179821210481996,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.33326653306613224,2722,44033,0,179317,19956,59880,136562,60400,4,400,0,37619,38139
b001_r002_p145,4000,2,0,0.013473840813290354,11,0,6,16,19,80,18,60,0.8,0.2,0,5.958942883532461e-05,0.0,2717,47756,4,201650,0,67126,155177,68631,0,0,50,43285,43211
b001_r002_p146,4000,2,0.2,0.012779471930170578,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00015212596029512437,0.09894272457594888,2527,46811,10,197739,6504,65735,152401,67653,0,89,0,42241,42418
b001_r002_p147,4000,2,0.4,0.015007873509657101,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00014436263894903998,0.1847841778547712,2802,44677,9,186702,11520,62343,143223,62863,0,0,351,40003,40006
b001_r002_p148,4000,2,0.6,0.015528897881839058,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00014447387430772935,0.2617545549402039,2901,44864,9,186813,16306,62295,143048,63322,0,0,0,39860,39866
b001_r002_p149,4000,2,0.8,0.014426735012614633,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00010529324167807344,0.32719122756877905,2882,47540,7,199768,21752,66481,153346,67894,0,30,0,42775,42647
b001_r002_p150,4000,3,0,0.013162695857480146,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00028897094236635096,0.0,2453,45488,18,186360,0,62290,142419,62774,7,495,0,39384,39759
b001_r002_p151,4000,3,0.2,0.013764109358677097,11,0,6,16,19,80,18,60,0.8,0.2,0,0.19944263248962593,0.0,2701,46580,13025,196235,0,65307,150954,66851,0,0,69,41986,42048
b001_r002_p152,4000,3,0.4,0.01385003244439244,11,0,6,16,19,80,18,60,0.8,0.2,0,0.40875305701635206,0.0,2604,44914,25572,188014,0,62561,144496,63994,0,293,0,40128,40081
b001_r002_p153,4000,3,0.6,0.01359729123985686,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6278402257748986,0.0,2542,45314,39154,186949,0,62363,143093,62868,9,801,0,39688,39727
b001_r002_p154,4000,3,0.8,0.013781070489074999,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8451583754215546,0.0,2567,44770,52377,186270,0,61973,142933,63090,9,644,0,39491,39699
b001_r002_p155,4000,4,0,0.013377892396982598,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0005663987753539993,0.0,2630,46764,37,196593,0,65325,151199,67150,0,0,159,41973,41917
b001_r002_p156,4000,4,0.2,0.014156914412668888,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20467099223575907,0.0,2740,45529,13154,193545,0,64269,149276,65878,0,369,0,41496,41533
b001_r002_p157,4000,4,0.4,0.0139900241281932,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4273718470301058,0.0,2586,44986,26262,184846,0,61450,141274,62708,0,0,643,39212,38711
b001_r002_p158,4000,4,0.6,0.013327273107224208,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6126814601374947,0.0,2551,46472,39124,191412,0,63857,146389,64840,0,0,306,40616,40627
b001_r002_p159,4000,4,0.8,0.012754463807038952,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8196109164669002,0.0,2498,46193,53337,195853,0,65076,151162,67151,0,0,19,41853,42139
b001_r002_p160,16000,0,0,0.014220242601929861,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,10593,180317,0,744924,0,248919,570014,252157,0,0,335,159024,158498
b001_r002_p161,16000,0,0.2,0.013624160565322476,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.10052246127170268,10789,187366,0,791902,26436,262986,609747,271024,0,117,0,169509,169097
b001_r002_p162,16000,0,0.4,0.014212255666761962,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.18744551672228602,11086,187314,0,780031,48811,260401,597631,263531,0,0,611,166643,166846
b001_r002_p163,16000,0,0.6,0.01469567917957935,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2614377532928065,11120,183570,0,756685,66058,252672,577995,255938,0,0,283,161110,160664
b001_r002_p164,16000,0,0.8,0.014379690828857532,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.32798158875041444,11076,184475,0,770253,84083,256365,590702,261522,0,925,0,164278,163977
b001_r002_p165,16000,2,0,0.013168453509824412,11,0,6,16,19,80,18,60,0.8,0.2,0,4.640478897422214e-05,0.0,10207,187148,12,775110,0,258594,593755,262129,10,1557,0,164794,165265
b001_r002_p166,16000,2,0.2,0.01389519430378519,11,0,6,16,19,80,18,60,0.8,0.2,0,3.100703084424393e-05,0.09940854088664605,10743,184772,8,773145,25648,258006,593630,261886,0,494,0,165444,165806
b001_r002_p167,16000,2,0.4,0.0142375335250941,11,0,6,16,19,80,18,60,0.8,0.2,0,2.3027767649824412e-05,0.18639442728022873,11132,188272,6,781877,48566,260555,598473,264959,2,671,0,166399,166442
b001_r002_p168,16000,2,0.6,0.014470795545381646,11,0,6,16,19,80,18,60,0.8,0.2,0,3.0366754477198362e-05,0.2607707082286313,11423,190747,8,789383,68699,263446,603213,266631,0,437,0,168198,167947
b001_r002_p169,16000,2,0.8,0.014689947538689078,11,0,6,16,19,80,18,60,0.8,0.2,0,1.5625854538920098e-05,0.326478791808927,11293,183427,4,768757,83574,255986,590037,261254,0,0,238,164349,164196
b001_r002_p170,16000,3,0,0.013627362004052236,11,0,6,16,19,80,18,60,0.8,0.2,0,6.108595557523881e-05,0.0,10721,186820,16,786726,0,261926,605185,267828,0,324,0,168619,168414
b001_r002_p171,16000,3,0.2,0.01293942149703771,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20257970402502928,0.0,10088,187369,52771,779633,0,260495,598176,263807,0,0,748,166948,166673
b001_r002_p172,16000,3,0.4,0.012896459554390838,11,0,6,16,19,80,18,60,0.8,0.2,0,0.40790788241608844,0.0,9862,183627,104114,764706,0,255239,587217,259364,0,1000,0,163362,163491
b001_r002_p173,16000,3,0.6,0.013851488843264806,11,0,6,16,19,80,18,60,0.8,0.2,0,0.612277949486435,0.0,10653,184523,156895,769087,0,256248,589911,260887,4,1025,0,163611,164384
b001_r002_p174,16000,3,0.8,0.013145320426063868,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8059028624277814,0.0,10179,185464,208259,774344,0,258417,594701,263137,0,187,0,165709,165668
b001_r002_p175,16000,4,0,0.013371554531185003,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00016224272265927142,0.0,10640,188882,43,795719,0,265035,612197,270754,0,253,0,170529,170661
b001_r002_p176,16000,4,0.2,0.013401426735694303,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20389492969140355,0.0,10137,181495,51417,756412,0,252174,580780,257533,0,0,392,161634,161221
b001_r002_p177,16000,4,0.4,0.013428876835979256,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4045321637426901,0.0,10176,182618,102379,757770,0,253080,580976,256975,0,0,459,162065,161477
b001_r002_p178,16000,4,0.6,0.0130357347310036,11,0,6,16,19,80,18,60,0.8,0.2,0,0.606742729101884,0.0,10247,188467,159219,786070,0,262416,603356,266360,0,0,631,168329,168036
b001_r002_p179,16000,4,0.8,0.013433762310975726,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8093791174809756,0.0,10496,186549,210700,781315,0,260323,600270,265839,1,326,0,166901,167203
b001_r003_p180,1000,0,0,0.015637980745736208,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,640,10323,0,40926,0,13693,30963,13774,0,0,123,8619,8447
b001_r003_p181,1000,0,0.2,0.013837555215000451,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.1024893169639829,614,10525,0,44372,1511,14743,34233,15205,0,0,67,9483,9478
b001_r003_p182,1000,0,0.4,0.013853523801303353,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.18485162627964236,642,11165,0,46342,2853,15434,35535,15612,0,0,220,9832,9871
b001_r003_p183,1000,0,0.6,0.013862787149837493,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.2747457289104567,627,11057,0,45229,4133,15043,34545,15325,6,172,0,9476,9566
b001_r003_p184,1000,0,0.8,0.015064216723585242,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.32842211308399444,719,11641,0,47729,5216,15882,36369,16183,0,57,0,10014,10115
b001_r003_p185,1000,2,0,0.013002271481162371,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0002964895635673624,0.0,664,12161,5,51068,0,16864,39243,17546,5,121,0,10762,10809
b001_r003_p186,1000,2,0.2,0.014691235059760957,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00043725404459991256,0.09900680867012306,708,11317,7,48192,1585,16009,37167,16365,0,101,0,10337,10364
b001_r003_p187,1000,2,0.4,0.016179584921643373,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0001918649270913277,0.18726016884113583,764,11117,3,47220,2928,15636,36339,16031,0,0,153,10088,10067
b001_r003_p188,1000,2,0.6,0.016968625718073355,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0005928853754940712,0.26567852437417655,768,11209,9,45260,4033,15180,34283,15076,0,56,0,9595,9556
b001_r003_p189,1000,2,0.8,0.014460072067883297,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00027771991946122336,0.3483996389641047,622,10928,4,43015,5018,14403,32465,14366,0,0,221,9021,8857
b001_r003_p190,1000,3,0,0.013193956003977589,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0007922218221101909,0.0,544,10459,11,41231,0,13885,31228,13701,6,208,0,8656,8657
b001_r003_p191,1000,3,0.2,0.012995253090191287,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20452008928571427,0.0,553,10484,2932,42554,0,14336,32517,14325,0,0,3,9106,9083
b001_r003_p192,1000,3,0.4,0.0136789506558401,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4386833855799373,0.0,657,11909,6997,48030,0,15950,36464,16186,0,0,286,10038,9954
b001_r003_p193,1000,3,0.6,0.013810282981267437,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6332811370754036,0.0,693,11616,10515,50180,0,16604,38871,17180,0,97,0,10839,10755
b001_r003_p194,1000,3,0.8,0.014712133377414631,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8468481273541326,0.0,623,10319,11916,42346,0,14071,32404,14429,3,115,0,8898,8959
b001_r003_p195,1000,4,0,0.014769176989797033,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0028989241770276362,0.0,676,11883,45,45771,0,15523,34212,14925,0,123,0,9553,9611
b001_r003_p196,1000,4,0.2,0.01273952411033902,11,0,6,16,19,80,18,60,0.8,0.2,0,0.21333333333333335,0.0,605,11207,3360,47490,0,15750,36678,16237,0,0,148,10150,10143
b001_r003_p197,1000,4,0.4,0.013331535245727937,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4238031215291986,0.0,692,12007,7250,51907,0,17107,40208,17925,0,0,76,11107,11100
b001_r003_p198,1000,4,0.6,0.014933628318584071,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6109696510907715,0.0,648,10700,8878,43392,0,14531,33044,14670,0,3,0,9193,9178
b001_r003_p199,1000,4,0.8,0.014095170233138124,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8243629831681192,0.0,633,11243,12391,44909,0,15031,34033,15118,1,85,0,9349,9480
b001_r003_p200,4000,0,0,0.014329401021480828,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.0,2699,45600,0,188354,0,62838,144055,63826,0,0,131,39909,40189
b001_r003_p201,4000,0,0.2,0.015277577745033957,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.09783723006713185,2758,44077,0,180526,5917,60478,137691,60604,0,208,0,38429,38450
b001_r003_p202,4000,0,0.4,0.014503548300333105,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.19181279270588603,2804,46952,0,193332,12328,64271,147576,65444,6,512,0,40585,41029
b001_r003_p203,4000,0,0.6,0.013772252222655688,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.26641087278106507,2683,46900,0,194812,17289,64896,149229,66218,0,0,119,41576,41316
b001_r003_p204,4000,0,0.8,0.014260085088933313,11,0,6,16,19,80,18,60,0.8,0.2,0,0.0,0.33071786824209976,2782,46725,0,195090,21496,64998,149583,66284,2,14,0,41530,41753
b001_r003_p205,4000,2,0,0.01412819489248762,11,0,6,16,19,80,18,60,0.8,0.2,0,4.85319097306479e-05,0.0,2619,45306,3,185374,0,61815,141449,62690,0,0,435,39327,38997
b001_r003_p206,4000,2,0.2,0.014122462211776148,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00012146609577601652,0.10027026206310163,2788,47129,8,197416,6604,65862,151499,66832,0,66,0,42275,42326
b001_r003_p207,4000,2,0.4,0.013083790492480341,11,0,6,16,19,80,18,60,0.8,0.2,0,9.398643462460252e-05,0.18466767963157318,2509,46012,6,191764,11789,63839,147243,65528,0,0,48,40909,40758
b001_r003_p208,4000,2,0.6,0.015097001377922617,11,0,6,16,19,80,18,60,0.8,0.2,0,6.57397363836571e-05,0.263616342898465,2761,44003,4,182884,16040,60846,140120,62313,0,0,117,38923,38767
b001_r003_p209,4000,2,0.8,0.015179043720245625,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00015536528103853058,0.33011669658886894,2640,42287,9,173924,19123,57928,132997,59305,0,66,0,36637,36989
b001_r003_p210,4000,3,0,0.013848362260211406,11,0,6,16,19,80,18,60,0.8,0.2,0,0.00028199464210180005,0.0,2653,46070,18,191575,0,63831,146852,65059,2,192,0,40749,40850
b001_r003_p211,4000,3,0.2,0.013134359951315023,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20488673962840417,0.0,2482,45556,12880,188970,0,62864,144932,64322,0,0,438,40175,39997
b001_r003_p212,4000,3,0.4,0.012732857187937182,11,0,6,16,19,80,18,60,0.8,0.2,0,0.40757437717947914,0.0,2421,45842,25947,190138,0,63662,145875,64257,0,0,134,40886,40598
b001_r003_p213,4000,3,0.6,0.013099932989860596,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6107579863677425,0.0,2385,44340,37186,182062,0,60885,139337,61812,0,0,94,38847,38584
b001_r003_p214,4000,3,0.8,0.014214446798332536,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8286855735219808,0.0,2704,45581,52479,190229,0,63328,145944,64846,1,0,0,40434,40663
b001_r003_p215,4000,4,0,0.013936806321391354,11,0,6,16,19,80,18,60,0.8,0.2,0,0.000882411112294421,0.0,2755,46939,58,197678,0,65729,151984,67257,0,0,208,42193,42326
b001_r003_p216,4000,4,0.2,0.013748551446520423,11,0,6,16,19,80,18,60,0.8,0.2,0,0.20474437502864037,0.0,2705,46425,13404,196748,0,65467,151618,67105,0,0,0,42290,42223
b001_r003_p217,4000,4,0.4,0.014093207229841264,11,0,6,16,19,80,18,60,0.8,0.2,0,0.4064685586397687,0.0,2715,46589,26153,192646,0,64342,147342,65119,0,0,128,41083,41012
b001_r003_p218,4000,4,0.6,0.014631469853075656,11,0,6,16,19,80,18,60,0.8,0.2,0,0.6169936636384457,0.0,2880,47311,40410,196836,0,65495,150645,66382,0,583,0,41820,41860
b001_r003_p219,4000,4,0.8,0.012965412207927537,11,0,6,16,19,80,18,60,0.8,0.2,0,0.8266172191820059,0.0,2588,48322,54832,199608,0,66333,152698,67687,0,0,667,42307,42037
